START TIME:2025-04-28 17:53:48,
STEP-01 Resistance,
,
TIME(S),R(OHM)
0.13,1130015
0.165,1130149
0.208,1130113
0.244,1130010
0.279,1130013
0.321,1130021
0.357,1130018
0.392,1130110
0.432,1130151
0.467,1130073
0.502,1130014
0.542,1130038
0.577,1130095
0.62,1130154
0.655,1130033
0.691,1130011
0.733,1130177
0.768,1130025
0.811,1130082
0.846,1130145
0.888,1130141
0.923,1130038
0.966,1130020
1.001,1130105
1.036,1130146
1.078,1130044
1.113,1130029
1.148,1130183
1.191,1130110
1.226,1130079
1.268,1130085
1.309,1130031
1.347,1130069
1.389,1129990
1.426,1130017
1.469,1130046
1.505,1130007
1.548,1130079
1.584,1130082
1.627,1129955
1.664,1129968
1.706,1129952
1.744,1130045
1.778,1130002
1.814,1129955
1.854,1129947
1.889,1129960
1.932,1129909
1.967,1130015
2.007,1130002
2.044,1129942
2.086,1130009
2.123,1129991
2.158,1129967
2.2,1129867
2.235,1129929
2.27,1129893
2.311,1129947
2.346,1129980
2.381,1129990
2.422,1129975
2.457,1129910
2.498,1129918
2.533,1129910
2.576,1129854
2.613,1129912
2.648,1129935
2.69,1129979
2.726,1129978
2.768,1129898
2.803,1129945
2.838,1130035
2.881,1129859
2.916,1129919
2.951,1130029
2.992,1130027
3.027,1129961
3.069,1129947
3.104,1130054
3.147,1130067
3.182,1129986
3.218,1129983
3.26,1130080
3.295,1130120
3.33,1130019
3.37,1130106
3.405,1130080
3.44,1130011
3.482,1130037
3.517,1129992
3.56,1130012
3.596,1129925
3.631,1129949
3.674,1130068
3.709,1130056
3.75,1129964
3.785,1129980
3.821,1129960
3.862,1129891
3.9,1129955
3.942,1129965
3.98,1129856
4.02,1129862
4.06,1129823
4.099,1129829
4.141,1129867
4.178,1129916
4.221,1129862
4.256,1129781
4.292,1129808
4.333,1129886
4.369,1129739
4.404,1129802
4.446,1129855
4.48,1129691
4.516,1129806
4.556,1129790
4.591,1129775
4.633,1129827
4.668,1129893
4.711,1129804
4.747,1129762
4.781,1129738
4.824,1129774
4.859,1129797
4.894,1129727
4.935,1129828
4.97,1129873
5.006,1129792
5.047,1129827
5.081,1129890
5.123,1129710
5.158,1129812
5.201,1129825
5.236,1129898
5.272,1129885
5.315,1129845
5.35,1129894
5.392,1129940
5.427,1129746
5.462,1129802
5.503,1129871
5.539,1129840
5.574,1129868
5.614,1129937
5.649,1129872
5.692,1129849
5.727,1129723
5.762,1129761
5.805,1129771
5.841,1129771
5.88,1129680
5.915,1129777
5.95,1129774
5.991,1129786
6.026,1129813
6.061,1129651
6.104,1129719
6.139,1129600
6.182,1129615
6.217,1129627
6.253,1129671
6.295,1129679
6.33,1129599
6.371,1129532
6.405,1129627
6.441,1129647
6.482,1129579
6.517,1129594
6.553,1129555
