START TIME:2024-11-11 18:36:12,
STEP-01 Resistance,
,
TIME(S),R(OHM)
0.037,1108274
0.071,1108295
0.105,1108311
0.147,1108283
0.182,1108300
0.223,1108313
0.264,1108317
0.301,1108318
0.343,1108330
0.379,1108373
0.413,1108357
0.447,1108364
0.49,1108361
0.524,1108378
0.558,1108267
0.6,1108228
0.634,1108452
0.668,1108261
0.709,1108309
0.743,1108321
0.777,1108303
0.819,1108362
0.854,1108376
0.888,1108353
0.927,1108334
0.961,1108347
0.999,1108349
1.037,1108312
1.079,1108274
1.115,1108328
1.148,1108295
1.19,1108273
1.224,1108290
1.258,1108312
1.292,1108330
1.334,1108348
1.368,1108322
1.41,1108300
1.444,1108292
1.486,1108303
1.52,1108312
1.554,1108294
1.596,1108312
1.63,1108313
1.664,1108293
1.705,1108320
1.738,1108337
1.772,1108340
1.815,1108348
1.849,1108353
1.891,1108326
1.926,1108323
1.96,1108335
2.001,1108355
2.035,1108317
2.069,1108353
2.111,1108320
2.145,1108327
2.179,1108313
2.222,1108355
2.255,1108327
2.297,1108345
2.331,1108356
2.365,1108354
2.407,1108342
2.441,1108369
2.475,1108330
2.516,1108326
2.55,1108314
2.584,1108308
2.626,1108323
2.66,1108349
2.702,1108318
2.742,1108324
2.781,1108339
2.814,1108338
2.849,1108333
2.89,1108331
2.924,1108336
2.964,1108328
3,1108354
3.042,1108353
3.079,1108408
3.113,1108390
3.154,1108380
3.19,1108367
3.224,1108339
3.266,1108361
3.3,1108339
3.334,1108334
3.375,1108342
3.409,1108342
3.451,1108349
3.485,1108366
3.519,1108343
3.562,1108354
3.595,1108362
3.629,1108362
3.671,1108369
3.705,1108355
3.739,1108354
3.781,1108348
3.815,1108264
3.858,1108345
3.892,1108353
3.926,1108355
3.968,1108365
4.001,1108355
4.035,1108360
4.076,1108378
4.11,1108370
4.144,1108368
4.186,1108357
4.221,1108313
4.262,1108328
4.303,1108391
4.34,1108346
4.374,1108324
4.408,1108291
4.448,1108343
4.481,1108332
4.523,1108343
4.558,1108327
4.591,1108327
4.626,1108369
4.667,1108367
4.701,1108356
4.735,1108344
4.777,1108307
4.81,1108358
4.852,1108343
4.887,1108340
4.921,1108341
4.962,1108349
4.996,1108354
5.03,1108326
5.072,1108338
5.106,1108316
5.14,1108301
5.18,1108311
5.218,1108316
5.258,1108269
5.299,1108285
5.337,1108303
5.378,1108293
5.413,1108289
5.447,1108294
5.481,1108314
5.518,1108290
5.556,1108298
5.598,1108306
5.636,1108294
5.677,1108275
5.713,1108298
5.747,1108283
5.789,1108267
5.823,1108302
5.857,1108281
5.899,1108299
5.933,1108318
5.967,1108317
6.008,1108307
6.042,1108292
6.084,1108304
6.118,1108299
6.152,1108306
6.194,1108303
6.228,1108310
6.262,1108293
6.304,1108300
