fold,class,precision,recall,f1,n
1,H2S,0.8947368421052632,0.85,0.8717948717948718,20
1,CH4,0.9090909090909091,1.0,0.9523809523809523,20
1,CO2,0.9473684210526315,0.9,0.9230769230769231,20
1,AIR,1.0,1.0,1.0,4
2,H2S,1.0,0.85,0.9189189189189189,20
2,CH4,0.9090909090909091,1.0,0.9523809523809523,20
2,CO2,0.9523809523809523,1.0,0.975609756097561,20
2,AIR,1.0,1.0,1.0,4
3,H2S,0.9,0.9,0.9,20
3,CH4,0.9523809523809523,1.0,0.975609756097561,20
3,CO2,0.9473684210526315,0.9,0.9230769230769231,20
3,AIR,1.0,1.0,1.0,4
4,H2S,0.9047619047619048,0.95,0.9268292682926829,20
4,CH4,1.0,1.0,1.0,20
4,CO2,0.9473684210526315,0.9,0.9230769230769231,20
4,AIR,1.0,1.0,1.0,4
5,H2S,1.0,1.0,1.0,20
5,CH4,1.0,1.0,1.0,20
5,CO2,1.0,1.0,1.0,20
5,AIR,1.0,1.0,1.0,4
